20-08-04 18:36:22.488 : testsets\data-1
20-08-04 18:36:22.497 : ---1-->      0.jpg
20-08-04 18:36:25.738 : -231-->   1204.jpg
20-08-04 18:36:25.749 : -232-->   1205.jpg
20-08-04 18:36:25.759 : -233-->   1206.jpg
20-08-04 18:36:25.766 : -234-->   1207.jpg
20-08-04 18:36:25.774 : -235-->   1208.jpg
20-08-04 18:36:25.783 : -236-->   1209.jpg
20-08-04 18:36:25.790 : -237-->    121.jpg
20-08-04 18:36:25.801 : -238-->   1210.jpg
20-08-04 18:36:25.808 : -239-->   1211.jpg
20-08-04 18:36:25.820 : -240-->   1212.jpg
20-08-04 18:36:25.829 : -241-->   1213.jpg
20-08-04 18:36:25.840 : -242-->   1214.jpg
20-08-04 18:36:25.849 : -243-->   1215.jpg
20-08-04 18:36:25.857 : -244-->   1216.jpg
20-08-04 18:36:25.865 : -245-->   1217.jpg
20-08-04 18:36:25.875 : -246-->   1218.jpg
20-08-04 18:36:25.883 : -247-->   1219.jpg
20-08-04 18:36:25.889 : -248-->    122.jpg
20-08-04 18:36:25.907 : -249-->   1220.jpg
20-08-04 18:36:25.917 : -250-->   1221.jpg
20-08-04 18:36:25.928 : -251-->   1222.jpg
20-08-04 18:36:25.937 : -252-->   1223.jpg
20-08-04 18:36:25.946 : -253-->   1224.jpg
20-08-04 18:36:25.958 : -254-->   1225.jpg
20-08-04 18:36:25.970 : -255-->   1226.jpg
20-08-04 18:36:25.982 : -256-->   1227.jpg
20-08-04 18:36:25.993 : -257-->   1228.jpg
20-08-04 18:36:26.005 : -258-->   1229.jpg
20-08-04 18:36:26.016 : -259-->    123.jpg
20-08-04 18:36:26.033 : -260-->   1230.jpg
20-08-04 18:36:26.045 : -261-->   1231.jpg
20-08-04 18:36:26.055 : -262-->   1232.jpg
20-08-04 18:36:26.064 : -263-->   1233.jpg
20-08-04 18:36:26.076 : -264-->   1234.jpg
20-08-04 18:36:26.085 : -265-->   1235.jpg
20-08-04 18:36:26.096 : -266-->   1236.jpg
20-08-04 18:36:26.102 : -267-->   1237.jpg
20-08-04 18:36:26.112 : -268-->   1238.jpg
20-08-04 18:36:26.126 : -269-->   1239.jpg
20-08-04 18:36:26.136 : -270-->    124.jpg
20-08-04 18:36:26.150 : -271-->   1240.jpg
20-08-04 18:36:26.162 : -272-->   1241.jpg
20-08-04 18:36:26.172 : -273-->   1242.jpg
20-08-04 18:36:26.179 : -274-->   1243.jpg
20-08-04 18:36:26.192 : -275-->   1244.jpg
20-08-04 18:36:26.201 : -276-->   1245.jpg
20-08-04 18:36:26.211 : -277-->   1246.jpg
20-08-04 18:36:26.224 : -278-->   1247.jpg
20-08-04 18:36:26.232 : -279-->   1248.jpg
20-08-04 18:36:26.238 : -280-->   1249.jpg
20-08-04 18:36:26.248 : -281-->    125.jpg
20-08-04 18:36:26.260 : -282-->   1250.jpg
20-08-04 18:36:26.270 : -283-->   1251.jpg
20-08-04 18:36:26.281 : -284-->   1252.jpg
20-08-04 18:36:26.290 : -285-->   1253.jpg
20-08-04 18:36:26.298 : -286-->   1254.jpg
20-08-04 18:36:26.306 : -287-->   1255.jpg
20-08-04 18:36:26.316 : -288-->   1256.jpg
20-08-04 18:36:26.325 : -289-->   1257.jpg
20-08-04 18:36:26.333 : -290-->   1258.jpg
20-08-04 18:36:26.342 : -291-->   1259.jpg
20-08-04 18:36:26.351 : -292-->    126.jpg
20-08-04 18:36:26.362 : -293-->   1260.jpg
20-08-04 18:36:26.370 : -294-->   1261.jpg
20-08-04 18:36:26.379 : -295-->   1262.jpg
20-08-04 18:36:26.387 : -296-->   1263.jpg
20-08-04 18:36:26.395 : -297-->   1264.jpg
20-08-04 18:36:26.404 : -298-->   1265.jpg
20-08-04 18:36:26.412 : -299-->   1266.jpg
20-08-04 18:36:26.419 : -300-->   1267.jpg
20-08-04 18:36:26.429 : -301-->   1268.jpg
20-08-04 18:36:26.436 : -302-->   1269.jpg
20-08-04 18:36:26.444 : -303-->    127.jpg
20-08-04 18:36:26.458 : -304-->   1270.jpg
20-08-04 18:36:26.472 : -305-->   1271.jpg
20-08-04 18:36:26.480 : -306-->   1272.jpg
20-08-04 18:36:26.491 : -307-->   1273.jpg
20-08-04 18:36:26.499 : -308-->   1274.jpg
20-08-04 18:36:26.507 : -309-->   1275.jpg
20-08-04 18:36:26.514 : -310-->   1276.jpg
20-08-04 18:36:26.528 : -311-->   1277.jpg
20-08-04 18:36:26.534 : -312-->   1278.jpg
20-08-04 18:36:26.548 : -313-->   1279.jpg
20-08-04 18:36:26.558 : -314-->    128.jpg
20-08-04 18:36:26.569 : -315-->   1280.jpg
20-08-04 18:36:26.576 : -316-->   1281.jpg
20-08-04 18:36:26.583 : -317-->   1282.jpg
20-08-04 18:36:26.594 : -318-->   1283.jpg
20-08-04 18:36:26.601 : -319-->   1284.jpg
20-08-04 18:36:26.607 : -320-->   1285.jpg
20-08-04 18:36:26.618 : -321-->   1286.jpg
20-08-04 18:36:26.625 : -322-->   1287.jpg
20-08-04 18:36:26.633 : -323-->   1288.jpg
20-08-04 18:36:26.641 : -324-->   1289.jpg
20-08-04 18:36:26.652 : -325-->    129.jpg
20-08-04 18:36:26.664 : -326-->   1290.jpg
20-08-04 18:36:26.672 : -327-->   1291.jpg
20-08-04 18:36:26.679 : -328-->   1292.jpg
20-08-04 18:36:26.686 : -329-->   1293.jpg
20-08-04 18:36:26.696 : -330-->   1294.jpg
20-08-04 18:36:26.704 : -331-->   1295.jpg
20-08-04 18:36:26.711 : -332-->   1296.jpg
20-08-04 18:36:26.720 : -333-->   1297.jpg
20-08-04 18:36:26.727 : -334-->   1298.jpg
20-08-04 18:36:26.734 : -335-->   1299.jpg
20-08-04 18:36:26.744 : -336-->     13.jpg
20-08-04 18:36:26.754 : -337-->    130.jpg
20-08-04 18:36:26.761 : -338-->   1300.jpg
20-08-04 18:36:26.769 : -339-->   1301.jpg
20-08-04 18:36:26.777 : -340-->   1302.jpg
20-08-04 18:36:26.788 : -341-->   1303.jpg
20-08-04 18:36:26.800 : -342-->   1304.jpg
20-08-04 18:36:26.809 : -343-->   1305.jpg
20-08-04 18:36:26.816 : -344-->   1306.jpg
20-08-04 18:36:26.823 : -345-->   1307.jpg
20-08-04 18:36:26.835 : -346-->   1308.jpg
20-08-04 18:36:26.846 : -347-->   1309.jpg
20-08-04 18:36:26.854 : -348-->    131.jpg
20-08-04 18:36:26.865 : -349-->   1310.jpg
20-08-04 18:36:26.878 : -350-->   1311.jpg
20-08-04 18:36:26.885 : -351-->   1312.jpg
20-08-04 18:36:26.897 : -352-->   1313.jpg
20-08-04 18:36:26.908 : -353-->   1314.jpg
20-08-04 18:36:26.917 : -354-->   1315.jpg
20-08-04 18:36:26.927 : -355-->   1316.jpg
20-08-04 18:36:26.937 : -356-->   1317.jpg
20-08-04 18:36:26.946 : -357-->   1318.jpg
20-08-04 18:36:26.956 : -358-->   1319.jpg
20-08-04 18:36:26.971 : -359-->    132.jpg
20-08-04 18:36:26.980 : -360-->   1320.jpg
20-08-04 18:36:26.989 : -361-->   1321.jpg
20-08-04 18:36:26.996 : -362-->   1322.jpg
20-08-04 18:36:27.003 : -363-->   1323.jpg
20-08-04 18:36:27.012 : -364-->   1324.jpg
20-08-04 18:36:27.021 : -365-->   1325.jpg
20-08-04 18:36:27.029 : -366-->   1326.jpg
20-08-04 18:36:27.038 : -367-->   1327.jpg
20-08-04 18:36:27.045 : -368-->   1328.jpg
20-08-04 18:36:27.052 : -369-->   1329.jpg
20-08-04 18:36:27.061 : -370-->    133.jpg
20-08-04 18:36:27.075 : -371-->   1330.jpg
20-08-04 18:36:27.082 : -372-->   1331.jpg
20-08-04 18:36:27.089 : -373-->   1332.jpg
20-08-04 18:36:27.099 : -374-->   1333.jpg
20-08-04 18:36:27.106 : -375-->   1334.jpg
20-08-04 18:36:27.113 : -376-->   1335.jpg
20-08-04 18:36:27.124 : -377-->   1336.jpg
20-08-04 18:36:27.134 : -378-->   1337.jpg
20-08-04 18:36:27.146 : -379-->   1338.jpg
20-08-04 18:36:27.157 : -380-->   1339.jpg
20-08-04 18:36:27.165 : -381-->    134.jpg
20-08-04 18:36:27.178 : -382-->   1340.jpg
20-08-04 18:36:27.190 : -383-->   1341.jpg
20-08-04 18:36:27.199 : -384-->   1342.jpg
20-08-04 18:36:27.208 : -385-->   1343.jpg
20-08-04 18:36:27.216 : -386-->   1344.jpg
20-08-04 18:36:27.223 : -387-->   1345.jpg
20-08-04 18:36:27.232 : -388-->   1346.jpg
20-08-04 18:36:27.240 : -389-->   1347.jpg
20-08-04 18:36:27.250 : -390-->   1348.jpg
20-08-04 18:36:27.262 : -391-->   1349.jpg
20-08-04 18:36:27.271 : -392-->    135.jpg
20-08-04 18:36:27.284 : -393-->   1350.jpg
20-08-04 18:36:27.295 : -394-->   1351.jpg
20-08-04 18:36:27.304 : -395-->   1352.jpg
20-08-04 18:36:27.311 : -396-->   1353.jpg
20-08-04 18:36:27.318 : -397-->   1354.jpg
20-08-04 18:36:27.329 : -398-->   1355.jpg
20-08-04 18:36:27.337 : -399-->   1356.jpg
20-08-04 18:36:27.344 : -400-->   1357.jpg
20-08-04 18:36:27.352 : -401-->   1358.jpg
20-08-04 18:36:27.362 : -402-->   1359.jpg
20-08-04 18:36:27.371 : -403-->    136.jpg
20-08-04 18:36:27.384 : -404-->   1360.jpg
20-08-04 18:36:27.392 : -405-->   1361.jpg
20-08-04 18:36:27.401 : -406-->   1362.jpg
20-08-04 18:36:27.409 : -407-->   1363.jpg
20-08-04 18:36:27.415 : -408-->   1364.jpg
20-08-04 18:36:27.425 : -409-->   1365.jpg
20-08-04 18:36:27.432 : -410-->   1366.jpg
20-08-04 18:36:27.439 : -411-->   1367.jpg
20-08-04 18:36:27.449 : -412-->   1368.jpg
20-08-04 18:36:27.456 : -413-->   1369.jpg
20-08-04 18:36:27.462 : -414-->    137.jpg
20-08-04 18:36:27.473 : -415-->   1370.jpg
20-08-04 18:36:27.482 : -416-->   1371.jpg
20-08-04 18:36:27.489 : -417-->   1372.jpg
20-08-04 18:36:27.499 : -418-->   1373.jpg
20-08-04 18:36:27.508 : -419-->   1374.jpg
20-08-04 18:36:27.518 : -420-->   1375.jpg
20-08-04 18:36:27.526 : -421-->   1376.jpg
20-08-04 18:36:27.533 : -422-->   1377.jpg
20-08-04 18:36:27.541 : -423-->   1378.jpg
20-08-04 18:36:27.549 : -424-->   1379.jpg
20-08-04 18:36:27.556 : -425-->    138.jpg
